PRECINCT,ALFRED,CARTER,HAGEN,TOTVOTE,P_ALFRED,P_CARTER,P_HAGEN,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP,P_VAP
00 019,203.0922562,75.38508769,281.4132976,559.8906414,0.362735579,0.134642521,0.502621899,0.040165387,0.757235676,0.156526875,0.023036031,0.012404017,0.001772002,0.001181335,0.007678677,0.074683086,0.06848206,0.83679903,0.020462429
00 020,115.4204648,102.0903223,198.3945756,415.9053628,0.277516173,0.24546527,0.477018556,0.064189189,0.588963964,0.293355856,0.031531532,0.006756757,0.000563063,0,0.01463964,0.03032112,0.371928803,0.496044042,0.021465608
00 021,96.730157,35.29025708,148.4811632,280.5015773,0.344847105,0.125811261,0.529341634,0.038461538,0.820512821,0.090909091,0.031468531,0.008158508,0,0.002331002,0.008158508,0.006102729,0.048597254,0.917527528,0.010370209
00 023,69.82680058,179.4654387,108.592093,357.8843323,0.195109968,0.501462128,0.303427904,0.019748654,0.377019749,0.570017953,0.023339318,0.000897666,0.000897666,0,0.008078995,0,0.537549407,0.43083004,0.013464351
00 025,185.9080701,69.75632426,284.6468569,540.3112513,0.344075882,0.129103964,0.526820155,0.038295244,0.857319333,0.077208153,0.016059296,0.003088326,0.000617665,0.00123533,0.006176652,0.031564173,0.069374068,0.840604896,0.019568029
00 027,49.41763661,20.53141883,128.5399035,198.488959,0.248969196,0.103438594,0.647592209,0.032258065,0.874039939,0.024577573,0.056835637,0,0,0,0.012288786,0,0,0.875,0.007868306
00 028,39.33762404,22.48893482,46.42054945,108.2471083,0.363405773,0.207755525,0.428838702,0.153250774,0.640866873,0.139318885,0.057275542,0,0,0,0.009287926,0,0.370967742,0.620967742,0.007807873
00 029,59.36178493,28.03273022,108.9482819,196.3427971,0.302337472,0.142774426,0.554888101,0.05915493,0.811267606,0.056338028,0.050704225,0.004225352,0.001408451,0.001408451,0.015492958,0,0,0.802955665,0.008581409
00 031,66.43521037,178.8504176,115.4830366,360.7686646,0.18414906,0.495748204,0.320102736,0.05403289,0.339075959,0.488645262,0.048551292,0.050117463,0,0.003132341,0.016444792,0.016332597,0.406190396,0.519667381,0.015434449
00 032,52.30499051,20.34774043,103.4051029,176.0578339,0.297089822,0.115574184,0.587335994,0.017766497,0.88071066,0.058375635,0.02284264,0.010152284,0,0,0.010152284,0,0.443877551,0.525510204,0.004762077
00 033,20.68057822,20.95426472,40.4902885,82.12513144,0.251817901,0.255150456,0.493031643,0.013043478,0.708695652,0.213043478,0.02173913,0.030434783,0,0,0.013043478,0.040322581,0.596774194,0.338709677,0.002779893
00 034,76.58174698,437.4236919,139.5686936,653.5741325,0.117173773,0.669279383,0.213546844,0.080927384,0.160104987,0.702537183,0.040682415,0.004374453,0,0.002187227,0.009186352,0.059327103,0.583976059,0.225201313,0.027629718
00 035,44.56918912,25.01898788,98.29089766,167.8790747,0.265483886,0.149029818,0.585486296,0.063424947,0.720930233,0.156448203,0.050739958,0.00845666,0,0,0,0.038216561,0.331210191,0.573248408,0.00571691
00 036,36.80201119,68.7974425,72.09665567,177.6961094,0.207106454,0.387163471,0.405730074,0.09125,0.4875,0.34375,0.04,0.00875,0.00375,0,0.025,0.020242915,0.392712551,0.465587045,0.009669193
00 038,126.2042738,71.44456531,221.5803933,419.2292324,0.301038821,0.170418854,0.528542325,0.093529412,0.676470588,0.108235294,0.084705882,0.021176471,0.004117647,0.001764706,0.01,0.065012106,0.216284837,0.632110388,0.020547035
00 040,83.59523551,78.93538562,191.7217448,354.2523659,0.235976506,0.222822466,0.541201029,0.072261072,0.737373737,0.118104118,0.055944056,0.004662005,0,0,0.011655012,0.008975968,0.264517786,0.664767212,0.015555314
00 041,52.82585784,59.27913751,76.64053567,188.745531,0.279878721,0.314069092,0.406052187,0.120433018,0.598105548,0.175913396,0.074424899,0.01488498,0,0.00135318,0.01488498,0.010905956,0.310591886,0.606526911,0.008931917
00 043,136.7555749,64.08245404,317.9443054,518.7823344,0.263608774,0.123524742,0.612866484,0.042897328,0.831223629,0.048523207,0.066807314,0.006329114,0,0,0.004219409,0.011289602,0.139493782,0.62402938,0.01718699
00 045,113.4901193,24.16280503,236.1231009,373.7760252,0.30363135,0.064645144,0.631723505,0.028469751,0.90628707,0.041518387,0.018979834,0.00118624,0,0,0.003558719,0,0.067567568,0.837837838,0.010188912
00 046,105.1641104,154.8922731,229.02879,489.0851735,0.215022078,0.316697953,0.468279969,0.037920489,0.521712538,0.39204893,0.026911315,0.006116208,0.000611621,0.000611621,0.014067278,0.006476275,0.478049408,0.507113292,0.019761413
00 047,31.44085476,13.88891306,88.11607866,133.4458465,0.235607594,0.104079021,0.660313385,0.038235294,0.817647059,0.111764706,0.002941176,0.011764706,0,0,0.017647059,0,0.070496021,0.926127377,0.004109407
00 048,57.86664975,118.9556305,96.15984384,272.9821241,0.21197963,0.435763444,0.352256926,0.063567362,0.378557875,0.524667932,0.020872865,0.0028463,0.000948767,0.000948767,0.007590133,0.008834982,0.535374045,0.426027044,0.012739161
00 049,27.11358884,107.3699796,56.08635798,190.5699264,0.142276325,0.563415129,0.294308546,0.039556962,0.303797468,0.621835443,0.02056962,0.004746835,0,0,0.009493671,0.002111089,0.627031541,0.267110788,0.007638662
00 051,216.9341165,105.672722,343.0777041,665.6845426,0.325881258,0.158742941,0.515375801,0.041101521,0.82079737,0.093300452,0.018084669,0.02055076,0.00082203,0,0.005343198,0.048331298,0.125805718,0.729226537,0.029406432
00 052,105.0630794,88.92699759,200.220228,394.2103049,0.266515304,0.225582631,0.507902065,0.046519886,0.473721591,0.210227273,0.237926136,0.011363636,0.000355114,0.001420455,0.018465909,0.004018263,0.216361822,0.594351468,0.034035558
00 053,59.17854164,57.59026796,171.1333986,287.9022082,0.205550843,0.200034131,0.594415026,0.044510386,0.584569733,0.097922849,0.226508408,0.010880317,0,0.00098912,0.034619189,0.077348066,0.049723757,0.348066298,0.012219442
00 054,29.99341286,25.77520336,54.41540061,110.1840168,0.272212012,0.233928696,0.493859293,0.017793594,0.371886121,0.017793594,0.556939502,0.003558719,0,0,0.03202847,0,0.045454545,0.694805195,0.006792608
00 055,103.0906849,46.07458574,268.4940353,417.659306,0.246829613,0.110316196,0.642854191,0.005617978,0.918539326,0.019662921,0.040262172,0.001872659,0,0,0.014044944,0.018939394,0.037878788,0.878787879,0.012908372
00 056,40.52933996,21.52879606,107.7231468,169.7812829,0.238715006,0.126803118,0.634481876,0.048780488,0.797373358,0.037523452,0.084427767,0.003752345,0,0,0.028142589,0,0.054298643,0.945701357,0.0064421
00 057,164.3332366,55.69884091,427.7229172,647.7549947,0.253696595,0.085987513,0.660315892,0.005280845,0.840134422,0.028324532,0.101776284,0.002880461,0,0.002400384,0.019203072,0,0.009327803,0.856906588,0.025176161
00 058,39.85033298,28.8850333,151.1521206,219.8874869,0.181230563,0.131362788,0.687406649,0.016163793,0.61637931,0.004310345,0.276939655,0.002155172,0,0.001077586,0.082974138,0,0,0.5625,0.011216264
00 059,216.5415836,133.8713997,495.0170903,845.4300736,0.256131868,0.158347099,0.585521033,0.01530842,0.798739307,0.138676272,0.030166592,0.001350743,0.000450248,0.001350743,0.013957677,0.025,0.175,0.7825,0.026844096
00 060,80.07531092,38.19028971,289.4378694,407.70347,0.196405763,0.093671731,0.709922507,0.017463933,0.922551253,0.013667426,0.031131359,0.004555809,0,0,0.01063022,0,0.001718142,0.972080194,0.015917909
00 061,45.39347571,15.98762343,110.0121711,171.3932702,0.264849814,0.093280345,0.641869841,0.00681431,0.925042589,0.001703578,0.044293015,0.018739353,0.001703578,0,0.001703578,0,0.024691358,0.913580247,0.00709477
00 062,25.8650785,11.64512854,87.2405816,124.7507886,0.207333988,0.093347134,0.699318879,0.009324009,0.946386946,0.006993007,0.023310023,0.009324009,0,0,0.004662005,0,0.016374136,0.910154119,0.005185105
00 063,38.44148325,17.01311384,94.08378356,149.5383807,0.257067671,0.113770885,0.629161444,0.011864407,0.937288136,0.003389831,0.016949153,0.020338983,0,0,0.010169492,0,0.019878876,0.911597833,0.00713103
00 064,50.99309861,16.71310296,119.4315482,187.1377497,0.272489643,0.089309094,0.638201263,0.004576659,0.933638444,0.020594966,0.029748284,0.006864989,0,0,0.004576659,0.05785124,0.194214876,0.73553719,0.005281797
00 065,46.01757376,69.31899876,99.94313306,215.2797056,0.213757138,0.321995046,0.464247816,0.02715655,0.651757188,0.303514377,0.009584665,0,0,0.001597444,0.006389776,0.05785124,0.194214876,0.73553719,0.007566143
00 066,28.56887487,46.95688749,70.30704522,145.8328076,0.195901562,0.321991246,0.482107191,0.014367816,0.715517241,0.24137931,0.011494253,0.00862069,0,0,0.00862069,0.044537029,0.390808605,0.559629283,0.004206099
00 067,38.85817712,192.3582315,85.67212976,316.8885384,0.122624117,0.607021739,0.270354145,0.008083141,0.321016166,0.624711316,0.019630485,0.015011547,0,0,0.011547344,0.035460993,0.524822695,0.439716312,0.010466901
00 068,103.9463481,82.93601412,231.2953455,418.1777077,0.248569797,0.198327201,0.553103002,0.042826552,0.734475375,0.165952891,0.032119914,0.011777302,0,0.001070664,0.011777302,0.019968616,0.033581475,0.889650526,0.011288783
00 069,272.0916277,63.26088691,442.4455927,777.7981073,0.349822949,0.0813333,0.568843751,0.017325017,0.916839917,0.045738046,0.007623008,0.008316008,0,0,0.004158004,0.004492729,0.031324957,0.960586725,0.017440806
00 071,30.68120672,94.0784655,57.4579934,182.2176656,0.168376686,0.516297172,0.315326141,0.016666667,0.360416667,0.583333333,0.025,0,0,0,0.014583333,0,0.325301205,0.586345382,0.005801516
00 072,94.45058438,59.73471361,296.5392025,450.7245005,0.209552807,0.132530434,0.657916759,0.01459144,0.844357977,0.076848249,0.054474708,0.004863813,0,0,0.004863813,0.008094292,0.199563373,0.664525186,0.012424913
00 073,82.72231287,39.81705887,215.961154,338.5005258,0.244378684,0.117627761,0.637993556,0.027173913,0.8,0.015217391,0.145652174,0.00326087,0,0.002173913,0.006521739,0.00963728,0.032124268,0.823845153,0.011119572
00 074,23.80828408,4.960138753,34.69740261,63.46582545,0.375135499,0.078154483,0.546710019,0.044247788,0.725663717,0.10619469,0.044247788,0.03539823,0,0,0.044247788,0.022222222,0.211111111,0.75,0.001365773
00 076,123.7938528,39.2621439,128.592794,291.6487907,0.424462082,0.134621316,0.440916603,0.017639077,0.856173677,0.105834464,0.010854817,0,0,0,0.009497965,0.036160583,0.079386615,0.842706665,0.008907744
00 078,0.24003771,4.127452047,1.358062294,5.72555205,0.041923942,0.720882809,0.237193249,0,0.066666667,0.933333333,0,0,0,0,0,0.022222222,0.211111111,0.75,0.000181297
00 081,3.592093018,1.314381716,8.883220325,13.78969506,0.260491113,0.095316228,0.644192659,0.081081081,0.810810811,0.081081081,0.027027027,0,0,0,0,0.05785124,0.194214876,0.73553719,0.0004472
00 082,48.98494023,16.17780437,71.92768652,137.0904311,0.357318449,0.118008268,0.524673283,0.010695187,0.906417112,0.056149733,0.010695187,0,0,0,0.016042781,0.021862589,0.07464395,0.825004427,0.004520348
00 083,203.3712003,41.81643038,417.3875533,662.575184,0.306940563,0.063111978,0.629947459,0.017282011,0.926944226,0.014925373,0.022780833,0.014139827,0.002356638,0,0.001571092,0.027518197,0.016332487,0.93939899,0.015386103
00 084,88.7778503,23.2536471,176.5689232,288.6004206,0.307615111,0.08057385,0.611811039,0.017663043,0.84375,0.089673913,0.010869565,0.029891304,0,0,0.008152174,0.004706598,0.078982384,0.912781069,0.008895657
00 085,209.8506472,28.94713369,338.135973,576.9337539,0.36373439,0.050174103,0.586091507,0.020892688,0.930674264,0.025641026,0.002849003,0.015194682,0.000949668,0.000949668,0.002849003,0,0.077213537,0.922508259,0.012727075
00 086,130.0583657,50.99549174,176.4624412,357.5162986,0.363783039,0.142638229,0.493578732,0.01381509,0.8565356,0.083953241,0.015940489,0.018065887,0,0.002125399,0.009564293,0.077084982,0.10220919,0.793856862,0.011373388
00 087,174.475688,80.46481018,239.0184923,493.9589905,0.353218974,0.162897754,0.483883271,0.054533061,0.717791411,0.182685753,0.025221541,0.012951602,0,0,0.006816633,0.05848712,0.142603124,0.756741029,0.017730882
00 088,180.0991576,60.67198472,378.9817494,619.7528917,0.290598334,0.097897058,0.611504608,0.011146497,0.938694268,0.022292994,0.017515924,0.006369427,0,0.000796178,0.003184713,0.077777778,0.033333333,0.886111111,0.015180633
00 089,153.5315397,52.9634988,364.610114,571.1051525,0.268832349,0.092738611,0.63842904,0.012784091,0.923295455,0.005681818,0.051136364,0.000710227,0,0,0.006392045,0.056559437,0.034972518,0.883470202,0.017017779
00 090,179.8744939,60.4288287,309.679853,549.9831756,0.327054539,0.109873959,0.563071502,0.017137097,0.925403226,0.024193548,0.017137097,0.01108871,0.001008065,0.001008065,0.003024194,0.020114943,0.091954023,0.887931034,0.011989799
00 095,7.32005028,2.169936062,13.47741639,22.96740273,0.318714761,0.094478949,0.58680629,0,1,0,0,0,0,0,0,0.017316017,0.337662338,0.645021645,0.00024173
00 099,12.4882338,10.79020269,18.21998622,41.49842271,0.300932734,0.260014766,0.4390525,0,0.827956989,0.11827957,0.010752688,0.032258065,0,0,0.010752688,0.049450549,0.016483516,0.884615385,0.001124044
00 103,59.54659947,54.78569443,123.6824275,238.0147213,0.250180321,0.230177756,0.519641923,0.088974855,0.681818182,0.140232108,0.070599613,0.010638298,0,0.000967118,0.006769826,0.001603939,0.012831513,0.903816399,0.012497432
00 105,1.512080448,2.2718977,1.763866227,5.547844374,0.272552787,0.409509991,0.317937222,0.03125,0.46875,0.46875,0.03125,0,0,0,0,0.023584906,0.54245283,0.297169811,0.000386768
00 106,1.224035196,1.118955244,0.334191474,2.677181914,0.457210319,0.417960109,0.124829573,0,0.571428571,0.428571429,0,0,0,0,0,0.023584906,0.54245283,0.297169811,0.000169211
00 107,0.384060336,0.203923275,2.57289967,3.160883281,0.121504118,0.064514649,0.813981233,0,0.458333333,0.5,0.041666667,0,0,0,0,0.023584906,0.54245283,0.297169811,0.000290076
00 109,3.704110616,1.373859337,7.050316062,12.12828601,0.305410889,0.113277287,0.581311824,0,0.681818182,0.068181818,0.204545455,0.045454545,0,0,0,0,0.150943396,0.617924528,0.000531806
00 110,43.4653299,38.49480885,91.62766356,173.5878023,0.250393918,0.221759872,0.52784621,0.018903592,0.676748582,0.141776938,0.122873346,0.028355388,0,0,0.011342155,0,0.150943396,0.617924528,0.006393754
00 111,28.40947823,55.99612024,41.03604192,125.4416404,0.226475659,0.446391805,0.327132536,0.015306122,0.457482993,0.380952381,0.090136054,0.049319728,0,0,0.006802721,0.002176312,0.191280448,0.601581658,0.007106857
00 112,4.976153353,3.518304991,10.45611999,18.95057834,0.262585831,0.185656866,0.551757303,0,0.918032787,0,0.06557377,0.016393443,0,0,0,0,0.005797101,0.905797101,0.000737276
00 115,2.632256427,25.86667392,4.434823598,32.93375394,0.079925794,0.785415291,0.134658916,0.029411765,0.156862745,0.774509804,0.019607843,0,0,0,0.019607843,0,0.325301205,0.586345382,0.001232822
00 116,11.08817095,5.577782612,18.62321573,35.2891693,0.314208897,0.158059334,0.527731769,0,0.911764706,0.088235294,0,0,0,0,0,0.022222222,0.211111111,0.75,0.000821881
00 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
