PRECINCT,ALFRED,CARTER,HAGEN,TOTVOTE,P_ALFRED,P_CARTER,P_HAGEN,P_HVAP,P_WVAP,P_BVAP,P_AMINVAP,P_ASIANVAP,P_NHPIVAP,P_OTHERVAP,P_2MOREVAP,P_HCVAP,P_BCVAP,P_WCVAP
00 023,52,170,82,304,0.171052632,0.559210526,0.269736842,0.019748654,0.377019749,0.570017953,0.023339318,0.000897666,0.000897666,0,0.008078995,0,0.537549407,0.43083004
00 025,160,56,246,462,0.346320346,0.121212121,0.532467532,0.038295244,0.857319333,0.077208153,0.016059296,0.003088326,0.000617665,0.00123533,0.006176652,0.031564173,0.069374068,0.840604896
00 027,39,15,113,167,0.233532934,0.089820359,0.676646707,0.032258065,0.874039939,0.024577573,0.056835637,0,0,0,0.012288786,0,0,0.875
00 028,29,17,31,77,0.376623377,0.220779221,0.402597403,0.153250774,0.640866873,0.139318885,0.057275542,0,0,0,0.009287926,0,0.370967742,0.620967742
00 029,48,22,92,162,0.296296296,0.135802469,0.567901235,0.05915493,0.811267606,0.056338028,0.050704225,0.004225352,0.001408451,0.001408451,0.015492958,0,0,0.802955665
00 031,46,168,85,299,0.153846154,0.56187291,0.284280936,0.05403289,0.339075959,0.488645262,0.048551292,0.050117463,0,0.003132341,0.016444792,0.016332597,0.406190396,0.519667381
00 032,46,17,94,157,0.292993631,0.108280255,0.598726115,0.017766497,0.88071066,0.058375635,0.02284264,0.010152284,0,0,0.010152284,0,0.443877551,0.525510204
00 033,17,19,35,71,0.23943662,0.267605634,0.492957746,0.013043478,0.708695652,0.213043478,0.02173913,0.030434783,0,0,0.013043478,0.040322581,0.596774194,0.338709677
00 034,40,418,85,543,0.073664825,0.769797422,0.156537753,0.080927384,0.160104987,0.702537183,0.040682415,0.004374453,0,0.002187227,0.009186352,0.059327103,0.583976059,0.225201313
00 035,37,21,87,145,0.255172414,0.144827586,0.6,0.063424947,0.720930233,0.156448203,0.050739958,0.00845666,0,0,0,0.038216561,0.331210191,0.573248408
00 036,24,62,53,139,0.172661871,0.446043165,0.381294964,0.09125,0.4875,0.34375,0.04,0.00875,0.00375,0,0.025,0.020242915,0.392712551,0.465587045
00 038,99,57,181,337,0.293768546,0.169139466,0.537091988,0.093529412,0.676470588,0.108235294,0.084705882,0.021176471,0.004117647,0.001764706,0.01,0.065012106,0.216284837,0.632110388
00 040,63,68,161,292,0.215753425,0.232876712,0.551369863,0.072261072,0.737373737,0.118104118,0.055944056,0.004662005,0,0,0.011655012,0.008975968,0.264517786,0.664767212
00 041,41,53,59,153,0.267973856,0.346405229,0.385620915,0.120433018,0.598105548,0.175913396,0.074424899,0.01488498,0,0.00135318,0.01488498,0.010905956,0.310591886,0.606526911
00 043,114,52,284,450,0.253333333,0.115555556,0.631111111,0.042897328,0.831223629,0.048523207,0.066807314,0.006329114,0,0,0.004219409,0.011289602,0.139493782,0.62402938
00 045,100,17,216,333,0.3003003,0.051051051,0.648648649,0.028469751,0.90628707,0.041518387,0.018979834,0.00118624,0,0,0.003558719,0,0.067567568,0.837837838
00 046,79,141,190,410,0.192682927,0.343902439,0.463414634,0.037920489,0.521712538,0.39204893,0.026911315,0.006116208,0.000611621,0.000611621,0.014067278,0.006476275,0.478049408,0.507113292
00 047,26,11,80,117,0.222222222,0.094017094,0.683760684,0.038235294,0.817647059,0.111764706,0.002941176,0.011764706,0,0,0.017647059,0,0.070496021,0.926127377
00 048,41,110,71,222,0.184684685,0.495495495,0.31981982,0.063567362,0.378557875,0.524667932,0.020872865,0.0028463,0.000948767,0.000948767,0.007590133,0.008834982,0.535374045,0.426027044
00 049,17,102,41,160,0.10625,0.6375,0.25625,0.039556962,0.303797468,0.621835443,0.02056962,0.004746835,0,0,0.009493671,0.002111089,0.627031541,0.267110788
00 051,178,85,285,548,0.324817518,0.155109489,0.520072993,0.041101521,0.82079737,0.093300452,0.018084669,0.02055076,0.00082203,0,0.005343198,0.048331298,0.125805718,0.729226537
00 052,60,65,133,258,0.23255814,0.251937984,0.515503876,0.046519886,0.473721591,0.210227273,0.237926136,0.011363636,0.000355114,0.001420455,0.018465909,0.004018263,0.216361822,0.594351468
00 053,43,49,147,239,0.179916318,0.205020921,0.615062762,0.044510386,0.584569733,0.097922849,0.226508408,0.010880317,0,0.00098912,0.034619189,0.077348066,0.049723757,0.348066298
00 054,21,21,41,83,0.253012048,0.253012048,0.493975904,0.017793594,0.371886121,0.017793594,0.556939502,0.003558719,0,0,0.03202847,0,0.045454545,0.694805195
00 055,86,37,243,366,0.234972678,0.101092896,0.663934426,0.005617978,0.918539326,0.019662921,0.040262172,0.001872659,0,0,0.014044944,0.018939394,0.037878788,0.878787879
00 056,32,17,95,144,0.222222222,0.118055556,0.659722222,0.048780488,0.797373358,0.037523452,0.084427767,0.003752345,0,0,0.028142589,0,0.054298643,0.945701357
00 057,131,38,378,547,0.239488117,0.069469835,0.691042048,0.005280845,0.840134422,0.028324532,0.101776284,0.002880461,0,0.002400384,0.019203072,0,0.009327803,0.856906588
00 058,25,21,129,175,0.142857143,0.12,0.737142857,0.016163793,0.61637931,0.004310345,0.276939655,0.002155172,0,0.001077586,0.082974138,0,0,0.5625
00 059,181,115,442,738,0.245257453,0.155826558,0.598915989,0.01530842,0.798739307,0.138676272,0.030166592,0.001350743,0.000450248,0.001350743,0.013957677,0.025,0.175,0.7825
00 060,59,27,258,344,0.171511628,0.078488372,0.75,0.017463933,0.922551253,0.013667426,0.031131359,0.004555809,0,0,0.01063022,0,0.001718142,0.972080194
00 061,36,11,96,143,0.251748252,0.076923077,0.671328671,0.00681431,0.925042589,0.001703578,0.044293015,0.018739353,0.001703578,0,0.001703578,0,0.024691358,0.913580247
00 062,19,8,77,104,0.182692308,0.076923077,0.740384615,0.009324009,0.946386946,0.006993007,0.023310023,0.009324009,0,0,0.004662005,0,0.016374136,0.910154119
00 063,29,12,80,121,0.239669421,0.099173554,0.661157025,0.011864407,0.937288136,0.003389831,0.016949153,0.020338983,0,0,0.010169492,0,0.019878876,0.911597833
00 064,44,13,109,166,0.265060241,0.078313253,0.656626506,0.004576659,0.933638444,0.020594966,0.029748284,0.006864989,0,0,0.004576659,0.05785124,0.194214876,0.73553719
00 065,36,64,85,185,0.194594595,0.345945946,0.459459459,0.02715655,0.651757188,0.303514377,0.009584665,0,0,0.001597444,0.006389776,0.05785124,0.194214876,0.73553719
00 066,23,44,62,129,0.178294574,0.341085271,0.480620155,0.014367816,0.715517241,0.24137931,0.011494253,0.00862069,0,0,0.00862069,0.044537029,0.390808605,0.559629283
00 067,25,185,65,275,0.090909091,0.672727273,0.236363636,0.008083141,0.321016166,0.624711316,0.019630485,0.015011547,0,0,0.011547344,0.035460993,0.524822695,0.439716312
00 068,89,75,209,373,0.238605898,0.201072386,0.560321716,0.042826552,0.734475375,0.165952891,0.032119914,0.011777302,0,0.001070664,0.011777302,0.019968616,0.033581475,0.889650526
00 069,249,51,408,708,0.351694915,0.072033898,0.576271186,0.017325017,0.916839917,0.045738046,0.007623008,0.008316008,0,0,0.004158004,0.004492729,0.031324957,0.960586725
00 071,23,90,46,159,0.144654088,0.566037736,0.289308176,0.016666667,0.360416667,0.583333333,0.025,0,0,0,0.014583333,0,0.325301205,0.586345382
00 072,78,51,272,401,0.194513716,0.127182045,0.678304239,0.01459144,0.844357977,0.076848249,0.054474708,0.004863813,0,0,0.004863813,0.008094292,0.199563373,0.664525186
00 073,68,32,194,294,0.231292517,0.108843537,0.659863946,0.027173913,0.8,0.015217391,0.145652174,0.00326087,0,0.002173913,0.006521739,0.00963728,0.032124268,0.823845153
00 074,22,4,32,58,0.379310345,0.068965517,0.551724138,0.044247788,0.725663717,0.10619469,0.044247788,0.03539823,0,0,0.044247788,0.022222222,0.211111111,0.75
00 076,112,33,111,256,0.4375,0.12890625,0.43359375,0.017639077,0.856173677,0.105834464,0.010854817,0,0,0,0.009497965,0.036160583,0.079386615,0.842706665
00 078,0,4,1,5,0,0.8,0.2,0,0.066666667,0.933333333,0,0,0,0,0,0.022222222,0.211111111,0.75
00 081,3,1,8,12,0.25,0.083333333,0.666666667,0.081081081,0.810810811,0.081081081,0.027027027,0,0,0,0,0.05785124,0.194214876,0.73553719
00 082,43,13,63,119,0.361344538,0.109243697,0.529411765,0.010695187,0.906417112,0.056149733,0.010695187,0,0,0,0.016042781,0.021862589,0.07464395,0.825004427
00 083,183,31,387,601,0.304492512,0.051580699,0.643926789,0.017282011,0.926944226,0.014925373,0.022780833,0.014139827,0.002356638,0,0.001571092,0.027518197,0.016332487,0.93939899
00 084,77,17,159,253,0.304347826,0.067193676,0.628458498,0.017663043,0.84375,0.089673913,0.010869565,0.029891304,0,0,0.008152174,0.004706598,0.078982384,0.912781069
00 085,193,20,313,526,0.366920152,0.038022814,0.595057034,0.020892688,0.930674264,0.025641026,0.002849003,0.015194682,0.000949668,0.000949668,0.002849003,0,0.077213537,0.922508259
00 086,115,43,154,312,0.368589744,0.137820513,0.493589744,0.01381509,0.8565356,0.083953241,0.015940489,0.018065887,0,0.002125399,0.009564293,0.077084982,0.10220919,0.793856862
00 087,151,68,204,423,0.356973995,0.160756501,0.482269504,0.054533061,0.717791411,0.182685753,0.025221541,0.012951602,0,0,0.006816633,0.05848712,0.142603124,0.756741029
00 088,160,50,349,559,0.286225403,0.089445438,0.624329159,0.011146497,0.938694268,0.022292994,0.017515924,0.006369427,0,0.000796178,0.003184713,0.077777778,0.033333333,0.886111111
00 089,131,41,331,503,0.260437376,0.081510934,0.65805169,0.012784091,0.923295455,0.005681818,0.051136364,0.000710227,0,0,0.006392045,0.056559437,0.034972518,0.883470202
00 090,164,52,286,502,0.326693227,0.103585657,0.569721116,0.017137097,0.925403226,0.024193548,0.017137097,0.01108871,0.001008065,0.001008065,0.003024194,0.020114943,0.091954023,0.887931034
00 095,7,2,13,22,0.318181818,0.090909091,0.590909091,0,1,0,0,0,0,0,0,0.017316017,0.337662338,0.645021645
00 099,11,10,16,37,0.297297297,0.27027027,0.432432432,0,0.827956989,0.11827957,0.010752688,0.032258065,0,0,0.010752688,0.049450549,0.016483516,0.884615385
00 103,43,46,99,188,0.228723404,0.244680851,0.526595745,0.088974855,0.681818182,0.140232108,0.070599613,0.010638298,0,0.000967118,0.006769826,0.001603939,0.012831513,0.903816399
00 105,1,2,1,4,0.25,0.5,0.25,0.03125,0.46875,0.46875,0.03125,0,0,0,0,0.023584906,0.54245283,0.297169811
00 106,1,1,0,2,0.5,0.5,0,0,0.571428571,0.428571429,0,0,0,0,0,0.023584906,0.54245283,0.297169811
00 107,0,0,2,2,0,0,1,0,0.458333333,0.5,0.041666667,0,0,0,0,0.023584906,0.54245283,0.297169811
00 109,3,1,6,10,0.3,0.1,0.6,0,0.681818182,0.068181818,0.204545455,0.045454545,0,0,0,0,0.150943396,0.617924528
00 110,35,34,79,148,0.236486486,0.22972973,0.533783784,0.018903592,0.676748582,0.141776938,0.122873346,0.028355388,0,0,0.011342155,0,0.150943396,0.617924528
00 111,19,51,27,97,0.195876289,0.525773196,0.278350515,0.015306122,0.457482993,0.380952381,0.090136054,0.049319728,0,0,0.006802721,0.002176312,0.191280448,0.601581658
00 112,4,3,9,16,0.25,0.1875,0.5625,0,0.918032787,0,0.06557377,0.016393443,0,0,0,0,0.005797101,0.905797101
00 115,1,25,2,28,0.035714286,0.892857143,0.071428571,0.029411765,0.156862745,0.774509804,0.019607843,0,0,0,0.019607843,0,0.325301205,0.586345382
00 116,10,5,17,32,0.3125,0.15625,0.53125,0,0.911764706,0.088235294,0,0,0,0,0,0.022222222,0.211111111,0.75
00 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
